#.<ReportHeader>:
#  +: {CreatedBy: undefined                                                      , CreatedAt: 2026-07-22T12:42:43.315Z}
#  QueryDescriptionLink: -->\..Before1stPostTasks<
#  QueryDescription:
#    Type: QueryDescription
#    Select: [Importance                                                         , Status                              , Id               , Estimation, By          , RemTime, Summary                                                                   , IDLINK as Apple                                                                                                                                            , DependsOn]
#    From:
#      - -->CurrentWork\Bobi\TasksToBeSorted\<
#      - -->Tasks\<
#    OutputFile: CurrentWork\Bobi\Before1stPostTasks.csv
#    OrderBy: [Importance desc                                                   , By                                  , RemTime]
#    Where:
#      TaggedBy: [Before1stPost]
#      LeavesOnly: false
#      SkipFoldersAndFiles: false
#  Log:
#    - Created at 2026-07-22T12:42:43.315Z; Added / Updated / Deleted: 18 / 0 / 0
Importance, Status    , Id               , Estimation, By          , RemTime, Summary                                                                   , Apple                                                                                                                                                      , DependsOn
6-Extreme , InProgress,                  , 240       , Bobi        , 240    , Work out the DM comparison outreach idea                                  , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..Outreach..""Work out the DM comparison outreach idea""<"                                   , 
5-VeryHigh, EstTODO   ,                  , 45        , Bobi        , 45     , Create Updates section containing the commit-message-like updates         , "-->.\Tasks\Website\..Improvements..""Create Updates section containing the commit-message-like updates""<"                                                , 
5-VeryHigh, EstTODO   ,                  , 60        , Bobi        , 60     , "Basic yaml based, generated"                                             , "-->.\Tasks\Website\..Improvements..CreateRoadmap..""Basic yaml based, generated""<"                                                                       , 
5-VeryHigh, EstTODO   ,                  , 30        , "Bobi, Hana", 30     , Decide:_ how should we handle history?                                    , "-->.\Tasks\Website\..Improvements..CreateRoadmap..""Decide:_ how should we handle history?""<"                                                            , 
5-VeryHigh, Blocked   , FinalizeAndUpload, 60        , "Bobi, Hana", 60     , Finalize and upload the content                                           , -->.\Tasks\Website\..Improvements..RecordingAboutHistory..FinalizeAndUpload<                                                                               , "-->Tasks\Website\..Improvements..CreateRoadmap..""Decide:_ how should we handle history?""<"
4-High    , EstTODO   , RevisePages      , 60        , Bobi        , 60     , Revise the other pages                                                    , -->.\Tasks\Website\..Improvements..ShadowsSite..RevisePages<                                                                                               , 
4-High    , InProgress,                  , 90        , Bobi        , 70     , Finish the F2FinanceHelper draft requirement                              , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..TaskAdmin..""Finish the F2FinanceHelper draft requirement""<"                              , 
4-High    , EstTODO   ,                  , 90        , Bobi        , 90     , Have the (development) Tasks worked out (on which I'm planning to work on), "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..TaskAdmin..""Have the (development) Tasks worked out (on which I'm planning to work on)""<", 
3-Average , EstTODO   ,                  , 90        , Bobi        , 90     , Detect and convert f2yaml links                                           , "-->.\Tasks\Software\F2FileToHtmlConverter\..F2FileToHtmlConverter..Development..SecondPhase..""Detect and convert f2yaml links""<"                        , 
2-Low     , InProgress, Implement        , 120       , Bobi        , 60     , "See what can be done to support the empty lines; if easy, do it"         , -->.\Tasks\Software\F2FileToHtmlConverter\..F2FileToHtmlConverter..Development..SecondPhase..EmptyLines..Implement<                                        , 
2-Low     , EstTODO   ,                  , 60        , Bobi        , 60     , Detect and convert urls                                                   , "-->.\Tasks\Software\F2FileToHtmlConverter\..F2FileToHtmlConverter..Development..SecondPhase..""Detect and convert urls""<"                                , 
2-Low     , EstTODO   ,                  , 30        , Hana        , 30     , Fix spelling mistakes by feeding the content to some LLM agent            , "-->.\Tasks\Website\..Improvements..""Fix spelling mistakes by feeding the content to some LLM agent""<"                                                   , 
1-VeryLow , EstTODO   ,                  , 15        , Bobi        , 15     , Update the colors to the current VS Code theme                            , "-->.\Tasks\Software\F2FileToHtmlConverter\..F2FileToHtmlConverter..Development..SecondPhase..""Update the colors to the current VS Code theme""<"         , 
1-VeryLow , EstTODO   ,                  , 20        , Bobi        , 20     , Update the colors of the non-generated pages                              , "-->.\Tasks\Website\..Improvements..""Update the colors to the current VS Code color scheme""..""Update the colors of the non-generated pages""<"          , 
1-VeryLow , EstTODO   ,                  , 60        , "Hana, Bobi", 60     , Decide:_ what to embed and how                                            , "-->.\Tasks\Website\..Improvements..""Embed something from Twitch""..""Decide:_ what to embed and how""<"                                                  , 
          , OnHold    ,                  , 120       , Bobi        , 120    , "Add ""Commit message""-like feature"                                     , "-->.\Tasks\Software\F2FileToHtmlConverter\..F2FileToHtmlConverter..Development..SecondPhase..""Add ""Commit message""-like feature""<"                    , 
          , OnHold    ,                  , 60        , Bobi        , 60     , Create the baseline posts from the ideas                                  , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..Outreach..""Create the baseline posts from the ideas""<"                                   , 
          , Done      ,                  , 90m       , Hana        , 0m     , Further Fine-Tune the transcription                                       , "-->.\Tasks\Website\..Improvements..RecordingAboutHistory..""Further Fine-Tune the transcription""<"                                                       , 
