IdLink                                                                                                                                                                                                                                                                          , TotalMins
"-->Meetings\Plannings\.MeetingNotes..Planning20260328.Result.""Tasks to be created"".""In management""..""Merge the Tasks (I was working on) with the original set""<"                                                                                                         ,        25
"-->Tasks\Management\..""General management""..""Planning related""..""Hold periodically""..""Planning 20260328""..""Hold the meeting""<"                                                                                                                                       ,       100
"-->Tasks\Management\..""General management""..""Planning related""..""Hold periodically""..""Planning 20260328""..""Process the results""<"                                                                                                                                    ,        56
"-->Tasks\Management\..""General management""..""Reports""..""Create report about total spent time per task and per day per worker up until 20260413 meh""..""Create CSV""<"                                                                                                    ,        10
"-->Tasks\Management\..""General management""..""Reports""..""Create report about total spent time per task and per day per worker up until 20260413 meh""<"                                                                                                                    ,        20
"-->Tasks\Management\..""General management""..""Standup related""..""Preparation for participants""<"                                                                                                                                                                          ,       157
"-->Tasks\Management\..""General management""..""Standup related""..""Preparation""<"                                                                                                                                                                                           ,        96
"-->Tasks\Management\..""General management""..""Task Administration""<"                                                                                                                                                                                                        ,       146
"-->Tasks\Management\..""General management""..""Task list reports (CSV)""..""Creation""..""Create Management task list reports""<"                                                                                                                                             ,        11
"-->Tasks\Management\..""General management""..""Task list reports (CSV)""..""Creation""..""Create OCWSPhase1 task list reports""<"                                                                                                                                             ,       210
"-->Tasks\Management\..""General management""..""Task list reports (CSV)""..""Maintenance""..""SyncAt20260402""<"                                                                                                                                                               ,       155
"-->Tasks\Management\..""General management""..""Task list reports (CSV)""..""Maintenance""..""SyncAt20260403""<"                                                                                                                                                               ,         4
"-->Tasks\Management\..""General management""..""Task list reports (CSV)""..""Maintenance""<"                                                                                                                                                                                   ,       110
"-->Tasks\Management\..""OCWSPhase1""..UpdateF2Links..Fix2ndRound<"                                                                                                                                                                                                             ,        53
"-->Tasks\Management\..""OCWSPhase1""..UpdateF2Links<"                                                                                                                                                                                                                          ,       142
"-->Tasks\Management\..""OCWSPhase1""..""Cleanup workspace""..""Hana""<"                                                                                                                                                                                                        ,        22
"-->Tasks\Management\..""OCWSPhase1""..""Provide estimations""<"                                                                                                                                                                                                                ,        10
"-->Tasks\Software\F2FileToHtmlConverter\..""F2FileToHtmlConverter""..""Development""..""SecondPhase""..""Fix the non-scalar as a sequence entry folding issue""<"                                                                                                              ,        60
"-->Tasks\Software\F2FileToHtmlConverter\..""F2FileToHtmlConverter""..""Development""..""SecondPhase""..""Try Updating the BarbaF2YamlHtmlConverter to generate empty lines as well""..""See what can be done to support the empty lines; if easy, do it""<"                    ,        80
"-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..LearnToDive..""Overview""..Finalize<"                                                                                                                                                  ,        12
"-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Documents""..""Articles""..""Migrate them from the old repo""<"                                                                                                       ,        12
"-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls<"                                                                                                                                                                                               ,        15
"-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase1""..""Create Contact page""..""Implement, finalize and publish""..""Provide the links into the document""<"                                                                   ,        10
"-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase1""..""Create Contact page""..""Review it""<"                                                                                                                                  ,        40
"-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase1""..""Create SupportUs page""..""Create content about what will be here""..""Work it out""<"                                                                                  ,        40
"-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase1""..""Create SupportUs page""..""Rename ""Support"" to something less confusing""..""Rename it""<"                                                                            ,        10
"-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase1""..""Create SupportUs page""..""Rename ""Support"" to something less confusing""..""Try finding something better than ""Support us""""<"                                     ,        10
"-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase1""..""Create Watch page""..Review..Content<"                                                                                                                                  ,        80
"-->Tasks\Website\..""Back to original""..Intermediate..""Bugs""..""Fix scrolling bug""<"                                                                                                                                                                                       ,        34
"-->Tasks\Website\..""Back to original""..Intermediate..""Shadow site todos""..""Change the ""Building fair systems through Collaboration"" to the one we decided""..""Change it in the title bar""<"                                                                           ,        10
"-->Tasks\Website\..""Back to original""..Intermediate..""Shadow site todos""..""Relearn how to edit Shadow's site""<"                                                                                                                                                          ,        20
"-->Tasks\Website\..""Back to original""..Intermediate..""Shadow site todos""..""Remove the ""TF2P"" text""<"                                                                                                                                                                   ,        10
"-->Tasks\Website\..""Back to original""..""Do intermediate solution""..""Create the OriginalConcept site""..""Clean, create or migrate the yamls""..""Write content for the leaves""..""The Abyss""..""Documents""..""Articles""..""Decide:_ which ones should be published""<",         3
"-->Tasks\Website\..""Back to original""..""Do intermediate solution""..""Create the OriginalConcept site""..""Clean, create or migrate the yamls""..""Write content for the leaves""..""The Abyss""..""Move anything else""..""Move the F2FileToHtmlConverter related tasks""<",        45
"-->Tasks\Website\..""Back to original""..""Do intermediate solution""..""Create the OriginalConcept site""..""Implement""..""Implement the non-deepdive pages""..""Phase1""..""Create Watch page""..""Review""..""Get the links""<"                                            ,        12
