#.<ReportHeader>: 
#  +: {CreatedBy: b , CreatedAt: 2026-09-07T23:36:07.447Z}
#  QueryDescriptionLink: -->\..DevTasks<
#  QueryDescription: 
#    Type: QueryDescription
#    Select: [TypeId, Status, Importance, Estimation, By, RemTime, Summary, Tags, IDLINK as IdLink, DependsOn]
#    From: 
#      - -->CurrentWork\Bobi\TasksToBeSorted\<
#      - -->CurrentWork\Hana\TasksToBeSorted\<
#      - -->Tasks\<
#    OutputFile: Reports\DevTasks.csv
#    OrderBy: [Status desc, Importance desc, By, RemTime]
#    Where: 
#      TaggedBy: [Dev]
#      LeavesOnly: false
#      SkipFoldersAndFiles: false
#  Log: 
#    - Created at 2026-09-07T23:36:07.447Z; Added / Updated / Deleted: 64 / 0 / 0
TypeId, Status    , Importance, Estimation, By  , RemTime, Summary                                                                             , Tags          , IdLink                                                                                                                                                                 , DependsOn
      , NEXT      , 3-Average ,          5, Bobi,       5, Measure speed after the folder exclusions                                           , "F2Tools, Dev", "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..Items..OptimiseParsing..""Measure speed after the folder exclusions""<"                                , 
      , InProgress, 2-Low     ,         60, Bobi,      60, "F2Link contains ""ERROR"" if the top level key does not start with a dot"          , "F2Tools, Dev", "-->Tasks\Software\F2ToolsExtension\..Bugs..""F2Link contains ""ERROR"" if the top level key does not start with a dot""<"                                             , 
      , InProgress,           ,         40, Bobi,      40, Proper escaping in Summary part of F2Links                                          , "Dev, F2Tools", -->Tasks\Software\F2ToolsExtension\..Tasks..F2LinkEscaping<                                                                                                            , 
      , EstTODO   , 4-High    ,         10, Bobi,      10, Exclude folders starting with a dot as a temporary measure                          , "F2Tools, Dev", "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..Items..OptimiseParsing..""Exclude folders starting with a dot as a temporary measure""<"               , 
      , EstTODO   , 4-High    ,         30, Bobi,      30, IDHIERARCHY(n) as column value                                                      , "F2Tools, Dev", "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..""CSV Remainings""..Updgrades..""IDHIERARCHY(n) as column value""<"                                    , 
      , EstTODO   , 3-Average ,         10, Bobi,      10, RowDeletingBehavior at update                                                       , "F2Tools, Dev", "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..""CSV Remainings""..Update..RowDeletingBehavior<"                                                      , 
      , EstTODO   , 3-Average ,         20, Bobi,      20, Make string escaping work                                                           , Dev           , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..ToBeSorted..""Make string escaping work""<"                                                            , 
      , EstTODO   , 3-Average ,         20, Bobi,      20, QueryDescription parsing from CSV header                                            , "F2Tools, Dev", "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..""CSV Remainings""..CSVHeaderParsing<"                                                                 , 
      , EstTODO   , 3-Average ,         20, Bobi,      20, Create Missing Items                                                                , "F2Tools, Dev", "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..""CSV Remainings""..Update..CreateMissingItems<"                                                       , 
      , EstTODO   , 3-Average ,         30, Bobi,      30, Item identification in Where to use item.IsDescendantOf(item:_ IF2YamlWorkspaceItem), Dev           , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..ToBeSorted..""Item identification in Where to use item.IsDescendantOf(item:_ IF2YamlWorkspaceItem)""<" , 
      , EstTODO   , 3-Average ,         30, Bobi,      30, Automatic aligning of CSV columns                                                   , "F2Tools, Dev", "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..""CSV Remainings""..Updgrades..""Automatic aligning of CSV columns""<"                                 , 
      , EstTODO   , 3-Average ,         30, Bobi,      30, Replace the already existing F2Link generation functionalities to this              , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..F2LinkClass..""Replace the already existing F2Link generation functionalities to this""<"                                 , 
      , EstTODO   , 3-Average ,         60, Bobi,      60, Engine of update                                                                    , "F2Tools, Dev", "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..""CSV Remainings""..Update..Engine<"                                                                   , 
      , EstTODO   , 3-Average ,         60, Bobi,      60, Non-Item ClassDescriptions                                                          , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..Refactorings..TypeDescriptionSupport..""Non-Item ClassDescriptions""<"                                                    , 
      , EstTODO   , 3-Average ,         60, Bobi,      60, ItemManager based F2Link following                                                  , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..""ItemManager based F2Link following""<"                                                                                  , 
      , EstTODO   , 3-Average ,        120, Bobi,     120, Finish yaml emitting                                                                , "F2Tools, Dev", "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..Items..""Yaml emitting""..""Finish yaml emitting""<"                                                   , 
      , EstTODO   , 3-Average ,        180, Bobi,     180, Basic Type support                                                                  , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..Refactorings..TypeDescriptionSupport..""Basic Type support""<"                                                            , 
      , EstTODO   , 2-Low     ,         20, Bobi,      20, Introduce some config for ignore list                                               , "F2Tools, Dev", "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..Items..OptimiseParsing..""Introduce some config for ignore list""<"                                    , 
      , EstTODO   , 2-Low     ,         60, Bobi,      60, Ensure that yaml map entries keep their order after a parse and emit roundtrip      , Dev           , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..ToBeSorted..""Ensure that yaml map entries keep their order after a parse and emit roundtrip""<"       , 
      , EstTODO   ,           ,         10, Bobi,      10, Register commands                                                                   , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..ReplaceLinks..""Register commands""<"                                                                                     , 
      , EstTODO   ,           ,         20, Bobi,      15, Replace Marked To                                                                   , "Dev, F2Tools", -->Tasks\Software\F2ToolsExtension\..Tasks..ReplaceLinks..ReplaceMarkedTo<                                                                                             , 
      , EstTODO   ,           ,         45, Bobi,      45, Replace Marked To Id Link                                                           , "Dev, F2Tools", -->Tasks\Software\F2ToolsExtension\..Tasks..ReplaceLinks..ReplaceMarkedToIdLink<                                                                                       , 
      , EstTODO   ,           ,         60, Bobi,      60, Mark F2Links For Replace                                                            , "Dev, F2Tools", -->Tasks\Software\F2ToolsExtension\..Tasks..ReplaceLinks..MarkF2LinksForReplace<                                                                                       , 
      , EstTODO   ,           ,         90, Bobi,      90, Create proper readme                                                                , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..""Publication to marketplace""..""Create proper readme""<"                                                                , 
